FF_NDB,SR_NDB,food_category_id,FF Food description,SR Food description,Nutrient_id,rank,FF_Component,SR_Component,unit_name,SR Mean per 100g,SR Min,SR Max, Std_Error,SR Num_Data_pts,FF Mean per 100g,FF Min,FF Max,FF Median,FF data_points,FF Publication Date
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1004,800,Total lipid (fat),Total lipid (fat),G,0.08,0.05,0.14,0.009,12,0.08,0.03,0.16,0.08,24,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1178,7300,Vitamin B-12,Vitamin B-12,UG,0.5,,,0.069,4,0.58,0.44,0.72,0.59,12,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1105,7430,Retinol,Retinol,UG,61,,,,0,64,36,89,64,12,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1128,8300,"Tocotrienol, alpha","Tocotrienol, alpha",MG,0,0,0.02,0.002,12,0,0,0,0,6,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1109,7905,Vitamin E (alpha-tocopherol),Vitamin E (alpha-tocopherol),MG,0.01,0,0.02,0.002,12,0,0,0.02,0,6,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1222,17500,Alanine,Alanine,G,0.114,,,,0,0.118,0.1,0.14,0.12,12,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1131,8600,"Tocotrienol, delta","Tocotrienol, delta",MG,0,0,0,0,12,0,0,0,0,6,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1093,5800,"Sodium, Na","Sodium, Na",MG,42,30,62,0.421,40,41,38,47,40,12,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1221,17400,Histidine,Histidine,G,0.102,,,,0,0.101,0.09,0.11,0.1,12,12/16/2019
1085,1085,1,"Milk, nonfat (fat free or skim)","Milk, nonfat (fat free or skim)",1218,17100,Tyrosine,Tyrosine,G,0.17,,,,0,0.168,0.15,0.2,0.165,12,12/16/2019
