FF_NDB,SR_NDB,food_category_id,FF Food description,SR Food description,Nutrient_id,rank,FF_Component,SR_Component,unit_name,SR Mean per 100g,SR Min,SR Max, Std_Error,SR Num_Data_pts,FF Mean per 100g,FF Min,FF Max,FF Median,FF data_points,FF Publication Date
1009,1009,1,"Cheese, cheddar","Cheese, cheddar",1091,5600,"Phosphorus, P","Phosphorus, P",MG,455,450,464,3.702,39,458,420,492,459,41,4/1/2019
1009,1009,1,"Cheese, cheddar","Cheese, cheddar",1008,300,Energy,Energy,KCAL,404,,,,0,408,,,,,4/1/2019
1009,1009,1,"Cheese, cheddar","Cheese, cheddar",1126,8100,"Tocopherol, gamma","Tocopherol, gamma",MG,0,0,0.06,0,13,0.04,0,0.08,0.04,13,4/1/2019
1009,1009,1,"Cheese, cheddar","Cheese, cheddar",1101,6100,"Manganese, Mn","Manganese, Mn",MG,0.027,0.024,0.029,0.002,39,0.026,0.017,0.058,0.024,41,4/1/2019
1009,1009,1,"Cheese, cheddar","Cheese, cheddar",1167,6600,Niacin,Niacin,MG,0.059,0.039,0.062,0.006,28,0.052,0.022,0.09,0.05,28,4/1/2019
1009,1009,1,"Cheese, cheddar","Cheese, cheddar",1177,6900,"Folate, total","Folate, total",UG,27,14,30,,4,21,14,30,21,4,4/1/2019
1009,1009,1,"Cheese, cheddar","Cheese, cheddar",1013,1900,Lactose,Lactose,G,0.12,0.1,0.18,,5,0.16,0.1,0.18,0.18,3,4/1/2019
1009,1009,1,"Cheese, cheddar","Cheese, cheddar",1012,1800,Fructose,Fructose,G,0,0,0,,4,0,0,0,0,2,4/1/2019
1009,1009,1,"Cheese, cheddar","Cheese, cheddar",1253,15700,Cholesterol,Cholesterol,MG,99,98,101,0.507,29,100,95,106,99,28,4/1/2019
1009,1009,1,"Cheese, cheddar","Cheese, cheddar",1075,2100,Galactose,Galactose,G,0.1,0.07,0.11,,4,0.07,0.07,0.07,0.07,2,4/1/2019
1009,1009,1,"Cheese, cheddar","Cheese, cheddar",1007,1000,Ash,Ash,G,3.71,3.66,3.73,0.028,39,3.67,3.42,3.9,3.7,44,4/1/2019
1009,1009,1,"Cheese, cheddar","Cheese, cheddar",1106,7420,"Vitamin A, RAE","Vitamin A, RAE",UG,330,,,,0,316,,,,,4/1/2019
1009,1009,1,"Cheese, cheddar","Cheese, cheddar",1184,8900,Vitamin K (Dihydrophylloquinone),Dihydrophylloquinone,UG,0,0,0,,2,0,0,0,0,11,4/1/2019
1009,1009,1,"Cheese, cheddar","Cheese, cheddar",1183,8950,Vitamin K (Menaquinone-4),Menaquinone-4,UG,8.6,8.6,8.6,,2,9.3,7.6,13,8.8,11,4/1/2019
1009,1009,1,"Cheese, cheddar","Cheese, cheddar",1258,9700,"Fatty acids, total saturated","Fatty acids, total saturated",G,18.867,,,,0,19.2,,,,,4/1/2019
1009,1009,1,"Cheese, cheddar","Cheese, cheddar",1010,1600,Sucrose,Sucrose,G,0,0,0,,4,0,0,0,0,2,4/1/2019
1009,1009,1,"Cheese, cheddar","Cheese, cheddar",1166,6500,Riboflavin,Riboflavin,MG,0.428,0.407,0.463,0.014,27,0.441,0.33,0.66,0.415,26,4/1/2019
1009,1009,1,"Cheese, cheddar","Cheese, cheddar",1170,6700,Pantothenic acid,Pantothenic acid,MG,0.41,0.322,0.481,0.018,25,0.413,0.28,0.58,0.405,24,4/1/2019
1009,1009,1,"Cheese, cheddar","Cheese, cheddar",1185,8800,Vitamin K (phylloquinone),Vitamin K (phylloquinone),UG,2.4,2.3,2.4,,2,2.4,2,3.2,2.3,11,4/1/2019
1009,1009,1,"Cheese, cheddar","Cheese, cheddar",1128,8300,"Tocotrienol, alpha","Tocotrienol, alpha",MG,0,0,0,0,13,0,0,0,0,13,4/1/2019
1009,1009,1,"Cheese, cheddar","Cheese, cheddar",1131,8600,"Tocotrienol, delta","Tocotrienol, delta",MG,0,0,0,0,13,0,0,0,0,13,4/1/2019
1009,1009,1,"Cheese, cheddar","Cheese, cheddar",1011,1700,Glucose,Glucose (dextrose),G,0.26,0,0.3,,5,0.1,0,0.3,0,3,4/1/2019
